Series,Sa2_main11,GCCSA_Name,LGA_NAME_2013,SA4_name,SA3_Name,SA2_Name,CODE_1,Name_1,Code_2,Name_2,SC2_2011,SC2_2013,SC2_2016,SC2_2021,SC2_2026,SC2_2031,SC2_2036,SC2_2041
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,1,MANAGERS,11,"Chief Executives, General Managers and Legislators",112,101,102,103,112,121,126,135
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,1,MANAGERS,12,Farmers and Farm Managers,3,3,3,3,3,4,4,4
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,1,MANAGERS,13,Specialist Managers,500,453,462,471,519,568,610,668
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,1,MANAGERS,14,"Hospitality, Retail and Service Managers",239,218,220,215,228,246,253,267
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,2,PROFESSIONALS,21,Arts and Media Professionals,86,73,73,75,75,79,79,80
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,2,PROFESSIONALS,22,"Business, Human Resource and Marketing Professionals",347,315,321,324,344,375,390,394
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,2,PROFESSIONALS,23,"Design, Engineering, Science and Transport Professionals",246,225,230,229,244,269,285,319
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,2,PROFESSIONALS,24,Education Professionals,119,100,104,114,136,159,173,195
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,2,PROFESSIONALS,25,Health Professionals,51,47,53,66,83,99,116,142
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,2,PROFESSIONALS,26,ICT Professionals,231,209,218,258,295,339,360,392
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,2,PROFESSIONALS,27,"Legal, Social and Welfare Professionals",12,11,12,13,14,16,18,23
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,3,TECHNICIANS AND TRADES WORKERS,31,"Engineering, ICT and Science Technicians",201,182,186,191,207,227,245,269
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,3,TECHNICIANS AND TRADES WORKERS,32,Automotive and Engineering Trades Workers,174,160,161,133,137,148,149,98
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,3,TECHNICIANS AND TRADES WORKERS,33,Construction Trades Workers,242,213,205,191,203,206,235,279
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,3,TECHNICIANS AND TRADES WORKERS,34,Electrotechnology and Telecommunications Trades Workers,308,271,270,246,268,287,323,340
POW,305031119,Greater Brisbane,Brisbane (C),Brisbane Inner City,Brisbane Inner - North,Albion,3,TECHNICIANS AND TRADES WORKERS,35,Food Trades Workers,58,53,54,54,57,62,64,66
